"sample","group"
"GSM3715353","Early"
"GSM3715354","Early"
"GSM3715355","Early"
"GSM3715356","Early"
"GSM3715357","Early"
"GSM3715358","Early"
"GSM3715359","Early"
"GSM3715360","Early"
"GSM3715361","Late"
"GSM3715362","Early"
"GSM3715363","Early"
"GSM3715364","Early"
"GSM3715365","Early"
"GSM3715366","Early"
"GSM3715367","Early"
"GSM3715368","Late"
"GSM3715369","Early"
"GSM3715370","Late"
"GSM3715371","Late"
"GSM3715372","Early"
"GSM3715373","Early"
"GSM3715374","Early"
"GSM3715375","Early"
"GSM3715376","Early"
"GSM3715377","Early"
"GSM3715378","Early"
"GSM3715379","Late"
"GSM3715380","Early"
"GSM3715381","Early"
"GSM3715382","Early"
"GSM3715383","Early"
"GSM3715384","Early"
"GSM3715385","Early"
"GSM3715386","Early"
"GSM3715387","Early"
"GSM3715388","Late"
"GSM3715389","Early"
"GSM3715390","Late"
"GSM3715391","Early"
"GSM3715392","Late"
"GSM3715393","Early"
"GSM3715394","Late"
"GSM3715395","Late"
"GSM3715396","Early"
"GSM3715397","Early"
"GSM3715398","Late"
"GSM3715399","Late"
"GSM3715400","Early"
"GSM3715401","Early"
"GSM3715402","Early"
"GSM3715403","Late"
"GSM3715404","Early"
"GSM3715405","Early"
"GSM3715406","Early"
"GSM3715407","Early"
"GSM3715408","Early"
"GSM3715409","Early"
"GSM3715410","Late"
"GSM3715411","Early"
"GSM3715412","Early"
"GSM3715413","Early"
"GSM3715414","Early"
"GSM3715415","Early"
"GSM3715416","Early"
"GSM3715417","Early"
"GSM3715418","Early"
"GSM3715419","Late"
"GSM3715420","Late"
"GSM3715421","Early"
"GSM3715422","Early"
"GSM3715423","Early"
"GSM3715424","Early"
"GSM3715425","Early"
"GSM3715426","Early"
"GSM3715427","Early"
"GSM3715428","Early"
"GSM3715429","Late"
"GSM3715430","Early"
"GSM3715431","Early"
"GSM3715432","Early"
"GSM3715433","Early"
"GSM3715434","Early"
"GSM3715435","Early"
"GSM3715436","Early"
"GSM3715437","Late"
"GSM3715438","Late"
"GSM3715439","Late"
"GSM3715440","Late"
"GSM3715441","Late"
"GSM3715442","Late"
"GSM3715443","Late"
"GSM3715444","Late"
"GSM3715445","Late"
"GSM3715446","Late"
"GSM3715447","Late"
"GSM3715448","Late"
"GSM3715449","Late"
"GSM3715450","Late"
"GSM3715451","Early"
"GSM3715452","Early"
"GSM3715453","Early"
"GSM3715454","Late"
"GSM3715455","Early"
"GSM3715456","Early"
"GSM3715457","Early"
"GSM3715458","Early"
"GSM3715459","Early"
"GSM3715460","Early"
"GSM3715461","Early"
"GSM3715462","Early"
"GSM3715463","Early"
"GSM3715464","Early"
"GSM3715465","Early"
"GSM3715466","Late"
"GSM3715467","Early"
"GSM3715468","Early"
"GSM3715469","Early"
"GSM3715470","Early"
"GSM3715471","Early"
"GSM3715472","Late"
"GSM3715473","Early"
"GSM3715474","Early"
"GSM3715475","Early"
"GSM3715476","Late"
"GSM3715477","Early"
"GSM3715478","Early"
"GSM3715479","Early"
"GSM3715480","Late"
"GSM3715481","Late"
"GSM3715482","Late"
"GSM3715483","Late"
"GSM3715484","Late"
"GSM3715485","Late"
"GSM3715486","Early"
"GSM3715487","Late"
"GSM3715488","Late"
"GSM3715489","Early"
"GSM3715490","Early"
"GSM3715491","Early"
"GSM3715492","Early"
"GSM3715493","Early"
"GSM3715494","Late"
"GSM3715495","Early"
"GSM3715496","Early"
"GSM3715497","Late"
"GSM3715498","Late"
"GSM3715499","Late"
