"","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"43427_at","ACACB",-1949.5416744186,1445.79647906977,-9.4496210270718,6.54317504324788e-15,8.7862909056377e-11,-4.21514218556165
"49452_at","ACACB",-2645.65601860465,2374.59596744186,-9.40957960328922,7.88609334976233e-15,8.7862909056377e-11,-4.21676140098093
"203548_s_at","LPL",-3561.4558627907,2560.38565,-9.25303425200499,1.63661570810503e-14,1.21562359412348e-10,-4.22316016133976
"207092_at","LEP",-2439.53672093023,1635.74252790698,-9.11610508901778,3.10033676776494e-14,1.72712010490265e-10,-4.22884632514453
"219140_s_at","RBP4",-2910.60338372093,1756.58399651163,-9.03969832394092,4.4284881979041e-14,1.97360005027794e-10,-4.23205538295427
"209699_x_at","AKR1C2",-4107.89393953488,3408.4834255814,-8.90466934905897,8.31584566807645e-14,3.08836648369579e-10,-4.2377897954658
"215695_s_at","GYG2",-2692.13434418605,2080.53973488372,-8.74705436919074,1.73484753286233e-13,5.52251536782447e-10,-4.24458526042139
"203980_at","FABP4",-5179.06234883721,5368.09138372093,-8.71334630100837,2.03021089417341e-13,5.65489866935826e-10,-4.2460527537978
"205382_s_at","CFD",-4092.26366046512,2848.98001860465,-8.65328124256812,2.68650766580366e-13,6.65149447967811e-10,-4.24868006079208
"207175_at","ADIPOQ",-4117.25534883721,3796.40830232558,-8.6146417692863,3.2168106703525e-13,7.16801921674648e-10,-4.2503785368895
"210964_s_at","GYG2",-1752.2353255814,1271.05043023256,-8.58641593368584,3.66916888897251e-13,7.43273548663403e-10,-4.2516233814666
"205913_at","PLIN1",-3188.12220930232,2508.74273255814,-8.53503236827244,4.66196336276818e-13,8.65687746771361e-10,-4.25389846363158
"204388_s_at","MAOA",-1124.75342790698,981.903309302326,-8.50109491061795,5.4606078465429e-13,9.35990189573196e-10,-4.25540738773448
"218087_s_at","SORBS1",-2470.96604883721,1870.22225465116,-8.47442305558476,6.18301719384893e-13,9.84115515218111e-10,-4.25659677453667
"210201_x_at","BIN1",-1094.5698372093,1246.01529069767,-8.35921451671996,1.05719395696176e-12,1.57049686286526e-09,-4.26176960318862
"219295_s_at","PCOLCE2",-2285.70115581395,1740.68093372093,-8.32211938017088,1.25636158538871e-12,1.67259777153121e-09,-4.26344730751093
"209771_x_at","CD24",3195.35251162791,3276.16653488372,8.31877737395717,1.2760473058399e-12,1.67259777153121e-09,-4.26359874590136
"203549_s_at","LPL",-3731.30534883721,4362.99313953488,-8.26575064313008,1.6329480568184e-12,1.97200791661765e-09,-4.26600795872594
"204894_s_at","AOC3",-1866.35923255814,1679.59936046512,-8.25945316112125,1.6814679538543e-12,1.97200791661765e-09,-4.26629487396171
"218168_s_at","COQ8A",-887.763434883721,748.62471744186,-8.20631125928284,2.15259674555422e-12,2.3253686433404e-09,-4.26872274059429
"213524_s_at","G0S2",-2971.27904651163,3178.22652325581,-8.20245859077608,2.19147967105634e-12,2.3253686433404e-09,-4.26889922060734
"212741_at","MAOA",-2521.20119069767,1841.46626511628,-8.17918690521567,2.4417047748969e-12,2.47311397722853e-09,-4.2699665651847
"203571_s_at","ADIRF",-984.611190697674,707.750502325581,-8.16097871906852,2.65719564815667e-12,2.57436046208152e-09,-4.27080326780926
"221009_s_at","ANGPTL4",-329.483376744186,261.714334883721,-8.1154629337775,3.28250712543518e-12,3.03885386217484e-09,-4.27290090764436
"205220_at","HCAR3",-722.542953488372,700.814755813954,-8.10729237842137,3.40938592444334e-12,3.03885386217484e-09,-4.27327837555704
